"name","mbid","streamable","artist_name","artist_mbid","album_name","album_mbid","url","image_small","image_medium","image_large","image_extra","date"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290018"
"Réjean - Radio-Canada","","0","Jean-Claude Gélinas","","","","https://www.last.fm/music/Jean-Claude+G%C3%A9linas/_/R%C3%A9jean+-+Radio-Canada","","","","","1108290018"
"Can't WaIt One Minute More","8d6a5922-d7ff-4ee8-9e44-ad943d4218df","0","CIV","1649c891-eea0-45b2-8caf-c85d985ff3bd","","","https://www.last.fm/music/CIV/_/Can%27t+WaIt+One+Minute+More","","","","","1108290018"
"Fuck Religion","","0","Propagandhi","cc546218-cc08-4ae9-9592-ac1596c1470d","","","https://www.last.fm/music/Propagandhi/_/Fuck+Religion","","","","","1108290018"
"Toxic","0c771a6a-8904-479b-b864-9176047dad59","0","Britney Spears","45a663b5-b1cb-4a91-bff6-2bef7bbfdd76","","","https://www.last.fm/music/Britney+Spears/_/Toxic","","","","","1108290018"
"Not Listening","a1af10f5-5411-49d7-abb9-f44a828c77d5","0","Papa Roach","c5eb9407-caeb-4303-b383-6929aa94021c","","","https://www.last.fm/music/Papa+Roach/_/Not+Listening","","","","","1108290018"
"Shazam!","","0","Beastie Boys","","","","https://www.last.fm/music/Beastie+Boys/_/Shazam%21","","","","","1108290017"
"Leave It Alone","8c2cb16d-1afe-4c29-8dd8-7cb7b6352bb4","0","NOFX","dcaa4f81-bfb7-44eb-8594-4e74f004b6e4","","","https://www.last.fm/music/NOFX/_/Leave+It+Alone","","","","","1108290017"
"Dead Girl Superstar","c85e319e-26fc-4336-b86a-be9c38c95b13","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Dead+Girl+Superstar","","","","","1108290017"
"Via Purifico","","0","Final Fantasy X Piano Collecti","","","","https://www.last.fm/music/Final+Fantasy+X+Piano+Collecti/_/Via+Purifico","","","","","1108290017"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290017"
"Réjean - Radio-Canada","","0","Jean-Claude Gélinas","","","","https://www.last.fm/music/Jean-Claude+G%C3%A9linas/_/R%C3%A9jean+-+Radio-Canada","","","","","1108290017"
"Can't WaIt One Minute More","8d6a5922-d7ff-4ee8-9e44-ad943d4218df","0","CIV","1649c891-eea0-45b2-8caf-c85d985ff3bd","","","https://www.last.fm/music/CIV/_/Can%27t+WaIt+One+Minute+More","","","","","1108290017"
"Fuck Religion","","0","Propagandhi","cc546218-cc08-4ae9-9592-ac1596c1470d","","","https://www.last.fm/music/Propagandhi/_/Fuck+Religion","","","","","1108290017"
"Toxic","0c771a6a-8904-479b-b864-9176047dad59","0","Britney Spears","45a663b5-b1cb-4a91-bff6-2bef7bbfdd76","","","https://www.last.fm/music/Britney+Spears/_/Toxic","","","","","1108290017"
"Not Listening","a1af10f5-5411-49d7-abb9-f44a828c77d5","0","Papa Roach","c5eb9407-caeb-4303-b383-6929aa94021c","","","https://www.last.fm/music/Papa+Roach/_/Not+Listening","","","","","1108290017"
"Shazam!","","0","Beastie Boys","","","","https://www.last.fm/music/Beastie+Boys/_/Shazam%21","","","","","1108290016"
"Leave It Alone","8c2cb16d-1afe-4c29-8dd8-7cb7b6352bb4","0","NOFX","dcaa4f81-bfb7-44eb-8594-4e74f004b6e4","","","https://www.last.fm/music/NOFX/_/Leave+It+Alone","","","","","1108290016"
"Dead Girl Superstar","c85e319e-26fc-4336-b86a-be9c38c95b13","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Dead+Girl+Superstar","","","","","1108290016"
"Via Purifico","","0","Final Fantasy X Piano Collecti","","","","https://www.last.fm/music/Final+Fantasy+X+Piano+Collecti/_/Via+Purifico","","","","","1108290016"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290016"
"Réjean - Radio-Canada","","0","Jean-Claude Gélinas","","","","https://www.last.fm/music/Jean-Claude+G%C3%A9linas/_/R%C3%A9jean+-+Radio-Canada","","","","","1108290016"
"Can't WaIt One Minute More","8d6a5922-d7ff-4ee8-9e44-ad943d4218df","0","CIV","1649c891-eea0-45b2-8caf-c85d985ff3bd","","","https://www.last.fm/music/CIV/_/Can%27t+WaIt+One+Minute+More","","","","","1108290016"
"Can't WaIt One Minute More","8d6a5922-d7ff-4ee8-9e44-ad943d4218df","0","CIV","1649c891-eea0-45b2-8caf-c85d985ff3bd","","","https://www.last.fm/music/CIV/_/Can%27t+WaIt+One+Minute+More","","","","","1108290016"
"Fuck Religion","","0","Propagandhi","cc546218-cc08-4ae9-9592-ac1596c1470d","","","https://www.last.fm/music/Propagandhi/_/Fuck+Religion","","","","","1108290016"
"Chrono Cross Dream Shore Sonata-Fantasy OC ReMix","","0","MC","467b9895-59b9-432e-a80d-cc6f5f91b66e","","","https://www.last.fm/music/MC/_/Chrono+Cross+Dream+Shore+Sonata-Fantasy+OC+ReMix","","","","","1108290016"
"Toxic","0c771a6a-8904-479b-b864-9176047dad59","0","Britney Spears","45a663b5-b1cb-4a91-bff6-2bef7bbfdd76","","","https://www.last.fm/music/Britney+Spears/_/Toxic","","","","","1108290016"
"Not Listening","a1af10f5-5411-49d7-abb9-f44a828c77d5","0","Papa Roach","c5eb9407-caeb-4303-b383-6929aa94021c","","","https://www.last.fm/music/Papa+Roach/_/Not+Listening","","","","","1108290016"
"Shazam!","","0","Beastie Boys","","","","https://www.last.fm/music/Beastie+Boys/_/Shazam%21","","","","","1108290015"
"Leave It Alone","8c2cb16d-1afe-4c29-8dd8-7cb7b6352bb4","0","NOFX","dcaa4f81-bfb7-44eb-8594-4e74f004b6e4","","","https://www.last.fm/music/NOFX/_/Leave+It+Alone","","","","","1108290015"
"Dead Girl Superstar","c85e319e-26fc-4336-b86a-be9c38c95b13","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Dead+Girl+Superstar","","","","","1108290015"
"Via Purifico","","0","Final Fantasy X Piano Collecti","","","","https://www.last.fm/music/Final+Fantasy+X+Piano+Collecti/_/Via+Purifico","","","","","1108290015"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290015"
"Gotta Get Away","24b67665-5781-447f-b420-13e07971f828","0","The Offspring","23a03e33-a603-404e-bcbf-2c00159d7067","","","https://www.last.fm/music/The+Offspring/_/Gotta+Get+Away","","","","","1108290015"
"What's Happenin ft. Busta Rhymes","","0","Method Man","94dbfe2e-ca48-4e08-a5a8-e1e74136c63d","","","https://www.last.fm/music/Method+Man/_/What%27s+Happenin+ft.+Busta+Rhymes","","","","","1108290015"
"Réjean - Radio-Canada","","0","Jean-Claude Gélinas","","","","https://www.last.fm/music/Jean-Claude+G%C3%A9linas/_/R%C3%A9jean+-+Radio-Canada","","","","","1108290015"
"Can't WaIt One Minute More","8d6a5922-d7ff-4ee8-9e44-ad943d4218df","0","CIV","1649c891-eea0-45b2-8caf-c85d985ff3bd","","","https://www.last.fm/music/CIV/_/Can%27t+WaIt+One+Minute+More","","","","","1108290015"
"Can't WaIt One Minute More","8d6a5922-d7ff-4ee8-9e44-ad943d4218df","0","CIV","1649c891-eea0-45b2-8caf-c85d985ff3bd","","","https://www.last.fm/music/CIV/_/Can%27t+WaIt+One+Minute+More","","","","","1108290015"
"Fuck Religion","","0","Propagandhi","cc546218-cc08-4ae9-9592-ac1596c1470d","","","https://www.last.fm/music/Propagandhi/_/Fuck+Religion","","","","","1108290015"
"Chrono Cross Dream Shore Sonata-Fantasy OC ReMix","","0","MC","467b9895-59b9-432e-a80d-cc6f5f91b66e","","","https://www.last.fm/music/MC/_/Chrono+Cross+Dream+Shore+Sonata-Fantasy+OC+ReMix","","","","","1108290015"
"Toxic","0c771a6a-8904-479b-b864-9176047dad59","0","Britney Spears","45a663b5-b1cb-4a91-bff6-2bef7bbfdd76","","","https://www.last.fm/music/Britney+Spears/_/Toxic","","","","","1108290015"
"Not Listening","a1af10f5-5411-49d7-abb9-f44a828c77d5","0","Papa Roach","c5eb9407-caeb-4303-b383-6929aa94021c","","","https://www.last.fm/music/Papa+Roach/_/Not+Listening","","","","","1108290015"
"Shazam!","","0","Beastie Boys","","","","https://www.last.fm/music/Beastie+Boys/_/Shazam%21","","","","","1108290014"
"Leave It Alone","8c2cb16d-1afe-4c29-8dd8-7cb7b6352bb4","0","NOFX","dcaa4f81-bfb7-44eb-8594-4e74f004b6e4","","","https://www.last.fm/music/NOFX/_/Leave+It+Alone","","","","","1108290014"
"The Champ Is Here (Prod By Green Lantern)","","0","Jadakiss","83735edd-f2a3-41d0-a31d-652bc3cadb3e","","","https://www.last.fm/music/Jadakiss/_/The+Champ+Is+Here+(Prod+By+Green+Lantern)","","","","","1108290014"
"Dead Girl Superstar","c85e319e-26fc-4336-b86a-be9c38c95b13","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Dead+Girl+Superstar","","","","","1108290014"
"Via Purifico","","0","Final Fantasy X Piano Collecti","","","","https://www.last.fm/music/Final+Fantasy+X+Piano+Collecti/_/Via+Purifico","","","","","1108290014"
"Getting Away With Murder","965f7c7e-e3d3-47bf-a0d7-3370d0af1144","0","Papa Roach","c5eb9407-caeb-4303-b383-6929aa94021c","","","https://www.last.fm/music/Papa+Roach/_/Getting+Away+With+Murder","","","","","1108290014"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290014"
"Gotta Get Away","24b67665-5781-447f-b420-13e07971f828","0","The Offspring","23a03e33-a603-404e-bcbf-2c00159d7067","","","https://www.last.fm/music/The+Offspring/_/Gotta+Get+Away","","","","","1108290014"
"What's Happenin ft. Busta Rhymes","","0","Method Man","94dbfe2e-ca48-4e08-a5a8-e1e74136c63d","","","https://www.last.fm/music/Method+Man/_/What%27s+Happenin+ft.+Busta+Rhymes","","","","","1108290014"
"Réjean - Radio-Canada","","0","Jean-Claude Gélinas","","","","https://www.last.fm/music/Jean-Claude+G%C3%A9linas/_/R%C3%A9jean+-+Radio-Canada","","","","","1108290014"
"Can't WaIt One Minute More","8d6a5922-d7ff-4ee8-9e44-ad943d4218df","0","CIV","1649c891-eea0-45b2-8caf-c85d985ff3bd","","","https://www.last.fm/music/CIV/_/Can%27t+WaIt+One+Minute+More","","","","","1108290014"
